date,symbol,open,high,low,close,volume,source,fetchedAt,series
2024-05-31,VNFIN,1572.67,1575.86,1564.58,1565.71,175086100,vndirect_dchart_public,2026-06-08T09:01:06.148021+00:00,banking_index
2024-06-03,VNFIN,1579.41,1601.18,1577.71,1594.04,281127300,vndirect_dchart_public,2026-06-08T09:01:06.148024+00:00,banking_index
2024-06-04,VNFIN,1602.82,1602.82,1589.98,1592.67,216563400,vndirect_dchart_public,2026-06-08T09:01:06.148027+00:00,banking_index
2024-06-05,VNFIN,1594.67,1602.09,1587.22,1587.22,224762700,vndirect_dchart_public,2026-06-08T09:01:06.148031+00:00,banking_index
2024-06-06,VNFIN,1592.78,1605.56,1588.74,1596.63,268820900,vndirect_dchart_public,2026-06-08T09:01:06.148034+00:00,banking_index
2024-06-07,VNFIN,1598.88,1614.45,1596.23,1602.7,163849700,vndirect_dchart_public,2026-06-08T09:01:06.148037+00:00,banking_index
2024-06-10,VNFIN,1609.92,1618.18,1598.63,1605.07,230250600,vndirect_dchart_public,2026-06-08T09:01:06.148041+00:00,banking_index
2024-06-11,VNFIN,1612.42,1615.48,1596.23,1601.94,266332600,vndirect_dchart_public,2026-06-08T09:01:06.148044+00:00,banking_index
2024-06-12,VNFIN,1602.55,1629.33,1596.6,1628.88,327576100,vndirect_dchart_public,2026-06-08T09:01:06.148184+00:00,banking_index
2024-06-13,VNFIN,1629.11,1644.67,1628.74,1639.12,353982800,vndirect_dchart_public,2026-06-08T09:01:06.148188+00:00,banking_index
2024-06-14,VNFIN,1645.04,1648.65,1613.09,1613.09,328443600,vndirect_dchart_public,2026-06-08T09:01:06.148192+00:00,banking_index
2024-06-17,VNFIN,1614.65,1615.33,1598.42,1607.11,255141800,vndirect_dchart_public,2026-06-08T09:01:06.148195+00:00,banking_index
2024-06-18,VNFIN,1613.68,1619.7,1605.61,1605.61,212098600,vndirect_dchart_public,2026-06-08T09:01:06.148200+00:00,banking_index
2024-06-19,VNFIN,1610.04,1613.04,1594.33,1608.67,255293700,vndirect_dchart_public,2026-06-08T09:01:06.148203+00:00,banking_index
2024-06-20,VNFIN,1610.91,1621.28,1601.08,1614.68,291178700,vndirect_dchart_public,2026-06-08T09:01:06.148208+00:00,banking_index
2024-06-21,VNFIN,1618.41,1618.95,1606.14,1611.54,233835800,vndirect_dchart_public,2026-06-08T09:01:06.148211+00:00,banking_index
2024-06-24,VNFIN,1611.51,1614.94,1565.06,1568.74,377925500,vndirect_dchart_public,2026-06-08T09:01:06.148215+00:00,banking_index
2024-06-25,VNFIN,1570.69,1576.08,1561.2,1571.01,164017500,vndirect_dchart_public,2026-06-08T09:01:06.148218+00:00,banking_index
2024-06-26,VNFIN,1571.16,1574.84,1552.62,1570.87,178418700,vndirect_dchart_public,2026-06-08T09:01:06.148222+00:00,banking_index
2024-06-27,VNFIN,1568.32,1568.53,1556.24,1563.79,147921700,vndirect_dchart_public,2026-06-08T09:01:06.148225+00:00,banking_index
2024-06-28,VNFIN,1565.15,1566.63,1539.74,1551.26,215088600,vndirect_dchart_public,2026-06-08T09:01:06.148229+00:00,banking_index
2024-07-01,VNFIN,1549.98,1557.56,1542.71,1556.65,129223200,vndirect_dchart_public,2026-06-08T09:01:06.148232+00:00,banking_index
2024-07-02,VNFIN,1563.64,1581.96,1560.34,1581.61,166128300,vndirect_dchart_public,2026-06-08T09:01:06.148236+00:00,banking_index
2024-07-03,VNFIN,1581.61,1598.41,1581.57,1596.31,155952500,vndirect_dchart_public,2026-06-08T09:01:06.148239+00:00,banking_index
2024-07-04,VNFIN,1599.03,1605.14,1588.37,1599.79,153256600,vndirect_dchart_public,2026-06-08T09:01:06.148243+00:00,banking_index
2024-07-05,VNFIN,1599.82,1605.41,1592.81,1605.41,167893000,vndirect_dchart_public,2026-06-08T09:01:06.148246+00:00,banking_index
2024-07-08,VNFIN,1608.38,1609.26,1594.67,1601.64,158283100,vndirect_dchart_public,2026-06-08T09:01:06.148249+00:00,banking_index
2024-07-09,VNFIN,1601.2,1617.44,1595.53,1615.07,227782800,vndirect_dchart_public,2026-06-08T09:01:06.148253+00:00,banking_index
2024-07-10,VNFIN,1618.87,1620.12,1604.06,1604.06,184574400,vndirect_dchart_public,2026-06-08T09:01:06.148257+00:00,banking_index
